DQ,RL,DT,DP,LT,DB,UC,ET,LC,SW
C,1,Enhacement,Mid Range,App Generator,Y,Y,8,806,5815
B,2,Enhacement,PC,3GL,Y,Y,19,1019,3058
D,1,New Development,MF,4GL,Y,Y,10,1087,6869
D,3,New Development,Multi,4GL,N,Y,11,1246,8861
D,4,Enhacement,MF,3GL,Y,N,19,598,10610
A,1,Enhacement,PC,4GL,Y,Y,14,670,12663
B,1,Enhacement,PC,4GL,Y,N,9,943,7664
B,4,New Development,PC,3GL,Y,Y,2,687,11498
D,2,Enhacement,PC,App Generator,N,Y,11,1196,5226
B,4,New Development,Multi,4GL,Y,Y,8,263,19215
D,3,Re-Development,Mid Range,4GL,N,N,2,216,1436
A,1,Enhacement,PC,4GL,N,N,7,827,14172
A,4,Re-Development,MF,App Generator,Y,N,5,865,9263
A,2,Re-Development,MF,App Generator,N,N,1,1417,240
C,2,Re-Development,Mid Range,4GL,N,N,15,1090,18044
D,1,Re-Development,Mid Range,App Generator,Y,N,12,396,14348
C,2,Enhacement,Mid Range,App Generator,N,N,11,116,16612
B,1,New Development,Multi,3GL,Y,N,3,1339,9824
B,4,Enhacement,Multi,App Generator,N,Y,13,285,13560
B,4,Re-Development,MF,App Generator,Y,Y,19,765,1517
C,4,Re-Development,Multi,3GL,Y,Y,5,1385,8229
D,3,Re-Development,Mid Range,3GL,N,N,5,811,18369
B,2,Enhacement,Multi,4GL,N,Y,2,744,10697
B,1,Enhacement,PC,3GL,Y,N,19,701,12362
B,3,Enhacement,Mid Range,App Generator,N,N,7,1489,10236
C,2,New Development,MF,4GL,Y,N,1,363,4381
A,1,Re-Development,PC,App Generator,Y,Y,0,511,18927
D,1,Enhacement,Multi,3GL,N,Y,15,653,9407
C,3,Re-Development,PC,4GL,N,Y,16,1028,16951
B,2,Re-Development,MF,3GL,Y,Y,1,1364,12540
D,2,New Development,Multi,4GL,N,N,3,882,18308
B,1,Enhacement,Multi,3GL,Y,Y,12,190,7292
D,3,Enhacement,Multi,3GL,N,Y,20,1360,19666
C,3,New Development,PC,4GL,N,N,9,810,7920
D,1,New Development,Multi,3GL,N,Y,20,929,10344
B,1,Re-Development,Multi,3GL,Y,N,14,737,13523
